C3874,wiki_books_3770,TRUE
C3216,wiki_books_15264,TRUE
C4903,wiki_books_1041,TRUE
C3000,wiki_books_5265,TRUE
C2327,wiki_books_10066,TRUE
C4428,wiki_books_12797,TRUE
C5108,wiki_books_7509,TRUE
C4925,wiki_books_13647,TRUE
C947,wiki_books_11701,TRUE
C2042,wiki_books_6635,TRUE
C441,wiki_books_16186,TRUE
C4668,wiki_books_879,TRUE
C4866,wiki_books_5351,TRUE
C4236,wiki_books_14898,TRUE
C5343,wiki_books_7996,TRUE
C502,wiki_books_92,TRUE
C4937,wiki_books_10615,TRUE
C3077,wiki_books_1212,TRUE
C5177,wiki_books_8780,TRUE
C2171,wiki_books_13350,TRUE
C1999,wiki_books_10825,TRUE
C4425,wiki_books_675,TRUE
C4994,wiki_books_3201,TRUE
C3928,wiki_books_3344,TRUE
C3134,wiki_books_11857,TRUE
C2300,wiki_books_12111,TRUE
C4218,wiki_books_276,TRUE
C4599,wiki_books_12335,TRUE
C3278,wiki_books_5,TRUE
C5478,wiki_books_10060,TRUE
C2810,wiki_books_514,TRUE
C3756,wiki_books_823,TRUE
C1687,wiki_books_14093,TRUE
C135,wiki_books_15732,TRUE
C2439,wiki_books_13396,TRUE
C2268,wiki_books_14797,TRUE
C3290,wiki_books_10612,TRUE
C3186,wiki_books_11332,TRUE
C3693,wiki_books_10736,TRUE
C2063,wiki_books_6635,TRUE
C2177,wiki_books_12414,TRUE
C5528,wiki_books_16260,TRUE
C279,wiki_books_11876,TRUE
C5483,wiki_books_12818,TRUE
C879,wiki_books_7826,TRUE
C5585,wiki_books_4253,TRUE
C2357,wiki_books_16341,TRUE
C579,wiki_books_997,TRUE
C2243,wiki_books_1648,TRUE
C4963,wiki_books_13421,TRUE
C471,wiki_books_15629,TRUE
C4693,wiki_books_16246,TRUE
C4959,wiki_books_13235,TRUE
C4228,wiki_books_14898,TRUE
C2658,wiki_books_10246,TRUE
C981,wiki_books_10321,TRUE
C3976,wiki_books_56,TRUE
C3850,wiki_books_10280,TRUE
C218,wiki_books_12046,TRUE
C1954,wiki_books_15817,TRUE
C2281,wiki_books_6673,TRUE
C4863,wiki_books_13782,TRUE
C4998,wiki_books_3201,TRUE
C1726,wiki_books_2027,TRUE
C4640,wiki_books_11318,TRUE
C392,wiki_books_7830,TRUE
C4880,wiki_books_12515,TRUE
C4531,wiki_books_11130,TRUE
C1214,wiki_books_169,TRUE
C3619,wiki_books_1196,TRUE
C2834,wiki_books_2540,TRUE
C127,wiki_books_690,TRUE
C982,wiki_books_10321,TRUE
C1133,wiki_books_7233,TRUE
C1865,wiki_books_11482,TRUE
C871,wiki_books_7826,TRUE
C2837,wiki_books_2540,TRUE
C1350,wiki_books_1058,TRUE
C1406,wiki_books_14791,TRUE
C1521,wiki_books_16114,TRUE
C1946,wiki_books_12223,TRUE
C2326,wiki_books_10066,TRUE
C238,wiki_books_1803,TRUE
C1288,wiki_books_13356,TRUE
C839,wiki_books_10333,TRUE
C5170,wiki_books_15851,TRUE
C4901,wiki_books_1041,TRUE
C4600,wiki_books_8335,TRUE
C2055,wiki_books_6635,TRUE
C467,wiki_books_16508,TRUE
C4030,wiki_books_15606,TRUE
C5052,wiki_books_11034,TRUE
C1975,wiki_books_4258,TRUE
C902,wiki_books_9270,TRUE
C196,wiki_books_6612,TRUE
C5121,wiki_books_829,TRUE
C2363,wiki_books_16498,TRUE
C5541,wiki_books_15361,TRUE
C5448,wiki_books_10105,TRUE
C2500,wiki_books_4207,TRUE
C2779,wiki_books_214,TRUE
C2009,wiki_books_10825,TRUE
C4423,wiki_books_675,TRUE
C2030,wiki_books_10825,TRUE
C696,wiki_books_15454,TRUE
C1193,wiki_books_15958,TRUE
C5016,wiki_books_3827,TRUE
C2840,wiki_books_2540,TRUE
C3472,wiki_books_1449,TRUE
C5120,wiki_books_829,TRUE
C2902,wiki_books_556,TRUE
C2329,wiki_books_10066,TRUE
C2238,wiki_books_13262,TRUE
C2059,wiki_books_6635,TRUE
C3984,wiki_books_16489,TRUE
C1714,wiki_books_13198,TRUE
C4493,wiki_books_12665,TRUE
C5674,wiki_books_16025,TRUE
C2142,wiki_books_5274,TRUE
C2731,wiki_books_1924,TRUE
C2088,wiki_books_15174,TRUE
C5608,wiki_books_5457,TRUE
C2027,wiki_books_10825,TRUE
C2191,wiki_books_15279,TRUE
C4649,wiki_books_13867,TRUE
C4646,wiki_books_10949,TRUE
C1227,wiki_books_16344,TRUE
C3081,wiki_books_1212,TRUE
C5387,wiki_books_11603,TRUE
C2937,wiki_books_16239,TRUE
C2003,wiki_books_10825,TRUE
C1219,wiki_books_5388,TRUE
C838,wiki_books_10333,TRUE
C1576,wiki_books_189,TRUE
C831,wiki_books_9316,TRUE
C4684,wiki_books_8116,TRUE
C4861,wiki_books_13782,TRUE
C840,wiki_books_10333,TRUE
C903,wiki_books_9270,TRUE
C4874,wiki_books_4377,TRUE
C4641,wiki_books_4643,TRUE
C1100,wiki_books_12969,TRUE
C2823,wiki_books_14696,TRUE
C4867,wiki_books_13865,TRUE
C3963,wiki_books_3829,TRUE
C3746,wiki_books_16297,TRUE
C4905,wiki_books_12960,TRUE
C5171,wiki_books_10846,TRUE
C4771,wiki_books_14939,TRUE
C2903,wiki_books_556,TRUE
C1209,wiki_books_15340,TRUE
C2386,wiki_books_2776,TRUE
